#A,B,Weight
4573,3512,2
4573,7705,1
1504,15414,5
1504,11384,2
1504,555,2
1504,7119,3
1504,1350,7
1504,7705,1
1399,3447,2
1399,12443,3
1399,8153,2
1399,15414,2
1399,6893,2
1399,17043,1
1399,11384,1
1399,555,2
1399,7119,2
1399,1350,3
1399,5835,1
1399,7705,1
1399,4861,3
3447,15414,2
3447,17043,5
3447,11384,1
3447,555,2
3447,7119,2
3447,1350,4
3447,5835,3
3447,7705,1
12443,8153,2
12443,15414,2
12443,6893,1
12443,11384,1
12443,555,2
12443,7119,2
12443,1350,3
12443,5835,2
12443,7705,1
12443,4861,3
8153,15414,2
8153,6893,1
8153,11384,1
8153,555,2
8153,7119,2
8153,1350,5
8153,5835,6
8153,7705,1
8153,4861,11
15414,6893,1
15414,17043,2
15414,11384,1
15414,555,2
15414,7119,2
15414,1350,3
15414,7705,1
15414,4861,5
6893,17043,1
6893,11384,1
6893,555,1
6893,7119,1
6893,1350,1
6893,5835,4
6893,7705,1
6893,4861,1
17043,11384,3
17043,555,1
17043,7119,2
17043,1350,8
17043,5835,4
17043,7705,1
11384,555,1
11384,7119,1
11384,1350,1
11384,5835,1
11384,3512,1
11384,7705,1
11384,4861,1
555,7119,2
555,1350,2
555,5835,1
555,3512,2
555,7705,1
555,4861,2
7119,5835,1
7119,3512,2
7119,7705,1
7119,4861,2
1350,5835,1
1350,7705,1
1350,4861,3
5835,7705,1
3512,7705,1
7705,4861,1
15950,7077,6
5620,1504,44
5620,12495,1
5620,5996,2
5620,8508,1
5620,16590,1
13549,1504,1
13549,12495,1
13549,20,2
13549,14640,2
13549,5996,1
13549,8508,1
13549,14355,1
13549,16590,1
13549,4861,1
13549,7117,1
1504,12495,13
1504,14640,1
1504,5996,1
1504,8508,1
1504,16590,1
12495,14640,1
12495,5996,1
12495,8508,1
12495,14355,1
12495,16590,1
12495,7117,1
20,5996,3
20,8508,1
20,16590,1
20,7117,1
14640,5996,1
14640,8508,1
14640,14355,2
14640,16590,1
14640,4861,1
14640,7117,1
5996,1784,2
5996,8508,1
5996,14355,1
5996,16590,1
5996,4861,2
5996,7117,1
1784,8508,1
1784,16590,1
